id,grad_year,"degree","exp_level","career_field"
5781,2016,"Associate of Arts","Military","Student"
5782,2008,"High School Diploma","Military","Experienced (Non-Managerial)"
5783,0,"GED","Food and Beverage","Experienced (Non-Managerial)"
5784,2008,"High School Diploma","Childcare","Entry Level"
5785,0,"Business Education Diploma","Administrative Support","Experienced (Non-Managerial)"
5786,0,"Certified Teachers Assistant   2011  -University Writing","Law Enforcement and Security","Experienced (Non-Managerial)"
5787,0,"0","0","Student"
5788,1978,"O level","Manufacturing and Production","Experienced (Non-Managerial)"
5789,1997,"Associate of Science","Nursing","Manager"
5790,0,"0","Customer Service","Experienced (Non-Managerial)"
5791,2017,"","Customer Service","Entry Level"
5792,0,"0","0","Experienced (Non-Managerial)"
5793,1998,"High School Diploma","Healthcare","Experienced (Non-Managerial)"
5794,12,"High School Diploma","Construction","Manager"
5795,0,"0","0","Experienced (Non-Managerial)"
5796,1989,"GCSE","Transportation and Distribution","Experienced (Non-Managerial)"
5797,1995,"","Manufacturing and Production","Experienced (Non-Managerial)"
5798,1993,"High School Diploma","Childcare","0"
5799,2014,"High School Diploma","Legal","Student"
5800,1990,"Bachelor of Science","Administrative Support","Manager"
5801,0,"Diploma","Personal Services","Experienced (Non-Managerial)"
5802,1976,"High School Diploma","Retail","Experienced (Non-Managerial)"
5803,2011,"Technical Degree","Trades","Experienced (Non-Managerial)"
5804,2016,"","0","Experienced (Non-Managerial)"
5805,2009,"Technical Welding Degree  ","Trades","Experienced (Non-Managerial)"
5806,2004,"Bachelor of Arts","Marketing, Advertising and PR","Experienced (Non-Managerial)"
5807,0,"0","Banking and Financial Services","Entry Level"
5808,1980,"High School Diploma","Transportation and Distribution","Experienced (Non-Managerial)"
5809,2009,"MBA","Community and Public Service","Experienced (Non-Managerial)"
5810,2014,"Associate of Arts","Healthcare","Experienced (Non-Managerial)"
5811,2003,"High School Diploma","Trades","Experienced (Non-Managerial)"
5812,2009,"","Management","Experienced (Non-Managerial)"
5813,2016,"Current Undergrad","Sales","Student"
5814,0,"","Trades","Manager"
5815,1999,"","Administrative Support","Experienced (Non-Managerial)"
5816,2016,"Bachelor of Science","Engineering","Student"
5817,1994,"GED","Management","Manager"
5818,2007,"Master of Education","Education and Training","Experienced (Non-Managerial)"
5819,2015,"Bachelor of Science","Social Sciences","Entry Level"
5820,1992,"Certificate, Graphic Design   Certified Meeting Professional (CPM) Certification","Marketing, Advertising and PR","Experienced (Non-Managerial)"
5821,2014,"Bachelor of Science","Science","Student"
5822,2012,"CDA","Childcare","Experienced (Non-Managerial)"
5823,2001,"Bachelor of Science","Accounting and Finance","Executive"
5824,0,"","Healthcare","Entry Level"
5825,2007,"High School Diploma","Healthcare","Experienced (Non-Managerial)"
5826,2009,"CNA","Healthcare","Experienced (Non-Managerial)"
5827,1997,"High School Diploma","Social Sciences","Experienced (Non-Managerial)"
5828,0,"0","0","Executive"
5829,2010,"High School Diploma","0","Entry Level"
5830,2013,"High school American Diploma","Business","Student"
5831,2012,"High School Diploma","0","Student"
5832,0,"0","Banking and Financial Services","Experienced (Non-Managerial)"
5833,0,"","Business","Entry Level"
5834,2010,"Registered Dental Assistant Diploma","Beauty and Spa","Entry Level"
5835,1974,"","Construction","Executive"
5836,0,"","Military","Student"
5837,2003,"Bachelor of Science","Sales","Experienced (Non-Managerial)"
5838,0,"0","0","0"
5839,2013,"","Food and Beverage","Experienced (Non-Managerial)"
5840,0,"0","0","Experienced (Non-Managerial)"
5841,2012,"High School Diploma","Marketing, Advertising and PR","Entry Level"
5842,2013,"B.S. Double Major","Science","Student"
5843,2015,"","Food and Beverage","0"
5844,2013,"BBA","Marketing, Advertising and PR","Entry Level"
5845,2011,"Associate of Science","Banking and Financial Services","Experienced (Non-Managerial)"
5846,2011,"High School Diploma","Marketing, Advertising and PR","Entry Level"
5847,2007,"High School Diploma","Law Enforcement and Security","Experienced (Non-Managerial)"
5848,1988,"High School Diploma","Retail","Manager"
5849,1983,"High School Diploma","Management","Manager"
5850,0,"GED","Law Enforcement and Security","Experienced (Non-Managerial)"
5851,2006,"HVAC/R Certification","Manufacturing and Production","Experienced (Non-Managerial)"
5852,0,"Diploma","Healthcare","Experienced (Non-Managerial)"
5853,1986,"Associate of Science","Healthcare","Executive"
5854,1976,"Associate of Applied Science","Dental","Experienced (Non-Managerial)"
5855,0,"0","0","Experienced (Non-Managerial)"
5856,1998,"GED","Manufacturing and Production","Entry Level"
5857,0,"High School Diploma","Sales","Manager"
5858,0,"0","Trades","Experienced (Non-Managerial)"
5859,1982,"High School Diploma","Transportation and Distribution","Manager"
5860,2004,"Bachelor of Science","Community and Public Service","Experienced (Non-Managerial)"
5861,11,"GED","Trades","Experienced (Non-Managerial)"
5862,1999,"GED","Travel and Hospitality","Manager"
5863,2015,"Bachelor of Arts","Food and Beverage","Experienced (Non-Managerial)"
5864,2004,"High School Diploma","Construction","Experienced (Non-Managerial)"
5865,2013,"","Pharmacy","Student"
5866,1997,"High School Diploma","Construction","Experienced (Non-Managerial)"
5867,1993,"Bachelor of Arts","Food and Beverage","Experienced (Non-Managerial)"
5868,1995,"Automotive Technician","Transportation and Distribution","Executive"
5869,0,"","Manufacturing and Production","Entry Level"
5870,0,"High School Diploma","Food and Beverage","Manager"
5871,2010,"High School Diploma","Nursing","Student"
5872,2008,"High School Diploma","Nursing","Student"
5873,2009,"","Military","Experienced (Non-Managerial)"
5874,0,"0","Food and Beverage","Manager"
5875,2012,"Bachelors Degree","0","0"
5876,2005,"","Trades","Experienced (Non-Managerial)"
5877,1997,"Computer Engineering Technologist Diploma Training in wide range of electronic subjects, including software and hardware projects, process control, robotics, microprocessor interfacing, system design, programming in C++, VB, assembler, ladder logic FESTO ","Installation and Maintenance","Experienced (Non-Managerial)"
5878,2011,"","Law Enforcement and Security","Executive"
5879,0,"Doctor of Education","0","Executive"
5880,2008,"High School Diploma","Trades","Entry Level"
5881,0,"0","Trades","Entry Level"
5882,2002,"Associate of Science","Community and Public Service","Manager"
5883,2012,"Level 4","Education and Training","Manager"
5884,2013,"High School Diploma","Library","Entry Level"
5885,1984,"High School Diploma","Healthcare","Experienced (Non-Managerial)"
5886,2013,"NASM","Fitness and Recreation","Entry Level"
5887,0,"0","Nursing","Experienced (Non-Managerial)"
5888,0,"","Food and Beverage","Experienced (Non-Managerial)"
5889,0,"0","Healthcare","Experienced (Non-Managerial)"
5890,0,"","Education and Training","Experienced (Non-Managerial)"
5891,0,"0","0","Experienced (Non-Managerial)"
5892,1998,"High School Diploma","Law Enforcement and Security","Experienced (Non-Managerial)"
5893,0,"0","0","Experienced (Non-Managerial)"
5894,2001,"GED","Sales","Entry Level"
5895,0,"GED","Customer Service","Experienced (Non-Managerial)"
5896,1982,"GCSE","Customer Service","Experienced (Non-Managerial)"
5897,1998,"12 units in E.C.E","Construction","Experienced (Non-Managerial)"
5898,0,"","Trades","Manager"
5899,2015,"High School Diploma","Retail","Student"
5900,0,"0","Sales","Entry Level"
5901,1990,"","Trades","Student"
5902,2012,"MBA","Banking and Financial Services","Manager"
5903,2005,"High School Diploma","Banking and Financial Services","Experienced (Non-Managerial)"
5904,3,"3 YEAR ADN DEGREE","Healthcare","Entry Level"
5905,0,"Bachelor of Science","Healthcare","Experienced (Non-Managerial)"
5906,2013,"","Healthcare","Student"
5907,2011,"Postgraduate Diploma","Administrative Support","Manager"
5908,1978,"","Management","Manager"
5909,2002,"Graduated with Microcomputer certificate in Microsoft Office Applications.","Insurance","Manager"
5910,1998,"Diploma","Business","Experienced (Non-Managerial)"
5911,2000,"High School Diploma","Engineering","Manager"
5912,2012,"Bachelor of Science","Law Enforcement and Security","Entry Level"
5913,0,"","Healthcare","Experienced (Non-Managerial)"
5914,2015,"High School Diploma","Retail","Student"
5915,2006,"GED","Nursing","Experienced (Non-Managerial)"
5916,2012,"High School Diploma","Insurance","Entry Level"
5917,1972,"Bachelors Science","0","0"
5918,1992,"High School Diploma","Trades","Experienced (Non-Managerial)"
5919,1985,"Bachelor of Science","Administrative Support","Experienced (Non-Managerial)"
5920,1999,"High School Diploma","Law Enforcement and Security","Experienced (Non-Managerial)"
5921,2010,"GCSE","Management","Experienced (Non-Managerial)"
5922,2011,"","Construction","Experienced (Non-Managerial)"
5923,2012,"MBA","Marketing, Advertising and PR","Experienced (Non-Managerial)"
5924,1999,"Bachelor of Arts","Management","Manager"
5925,2007,"Associate of Science","0","0"
5926,2013,"Associate of Applied Science","Engineering","Student"
5927,2017,"High School Diploma","Customer Service","Experienced (Non-Managerial)"
5928,2011,"High School Diploma","Healthcare","Entry Level"
5929,1993,"GED","Management","Manager"
5930,1964,"Bachelor of Arts","Law Enforcement and Security","Experienced (Non-Managerial)"
5931,1981,"High School Diploma","Food and Beverage","Experienced (Non-Managerial)"
5932,2012,"Associate of Science","0","0"
5933,2014,"Master of Science","0","0"
5934,0,"0","Sales","Experienced (Non-Managerial)"
5935,2007,"Associate of Arts","Food and Beverage","Experienced (Non-Managerial)"
5936,2009,"Associate of Applied Science","Nursing","Experienced (Non-Managerial)"
5937,2012,"High School Diploma","Business","Experienced (Non-Managerial)"
5938,0,"0","0","Experienced (Non-Managerial)"
5939,1966,"High School Diploma","Beauty and Spa","Experienced (Non-Managerial)"
5940,0,"High School Diploma","Retail","Student"
5941,0,"0","Human Resources","Experienced (Non-Managerial)"
5942,2008,"High School Diploma","Food and Beverage","Experienced (Non-Managerial)"
5943,0,"0","Education and Training","Experienced (Non-Managerial)"
5944,1988,"High School Diploma","Sales","Manager"
5945,1994,"Graduation/Program Completion Diploma","Accounting and Finance","Experienced (Non-Managerial)"
5946,1,"High School Diploma","0","Student"
5947,0,"0","Construction","Experienced (Non-Managerial)"
5948,2005,"High School Diploma","Transportation and Distribution","Experienced (Non-Managerial)"
5949,0,"0","Education and Training","Experienced (Non-Managerial)"
5950,2002,"Associate of Science","Food and Beverage","Experienced (Non-Managerial)"
5951,2013,"MBA","Human Resources","Manager"
5952,1993,"Master of Arts","Healthcare","Experienced (Non-Managerial)"
5953,0,"0","Art, Fashion and Design","Experienced (Non-Managerial)"
5954,2008,"High School Diploma","0","Experienced (Non-Managerial)"
5955,2001,"BBA","Law Enforcement and Security","Experienced (Non-Managerial)"
5956,2016,"High School Diploma","Sales","Entry Level"
5957,2012,"Certificate","Retail","Manager"
5958,1996,"High School Diploma","Transportation and Distribution","Experienced (Non-Managerial)"
5959,0,"0","0","Experienced (Non-Managerial)"
5960,2010,"Associate of Applied Science","Food and Beverage","Experienced (Non-Managerial)"
5961,2010,"","0","0"
5962,2008,"Diploma","Community and Public Service","Experienced (Non-Managerial)"
5963,2002,"Associate of Arts","Customer Service","Student"
5964,1985,"High School Diploma","Nursing","Entry Level"
5965,8,"Medical Assistant  American Career College (08/2013- present)  Studies: MBC Certificate","Retail","Entry Level"
5966,2003,"High School Diploma","Human Resources","Manager"
5967,2006,"High School Diploma","Installation and Maintenance","Experienced (Non-Managerial)"
5968,0,"0","Healthcare","Experienced (Non-Managerial)"
5969,0,"GED","Administrative Support","Experienced (Non-Managerial)"
5970,2007,"Bachelor of Science","Healthcare","Experienced (Non-Managerial)"
5971,1987,"Associate of Applied Science","Management","Executive"
5972,0,"0","Food and Beverage","Student"
5973,2012,"High School Diploma","Manufacturing and Production","Entry Level"
5974,1977,"High School Diploma","Sales","Manager"
5975,0,"","Accounting and Finance","Manager"
5976,2000,"Associate of Applied Science","Architecture","Experienced (Non-Managerial)"
5977,1966,"Bachelor of Arts","0","0"
5978,2011,"","Education and Training","Experienced (Non-Managerial)"
5979,2007,"High School Diploma","Customer Service","Entry Level"
5980,0,"0","0","Student"
5981,2012,"Bachelor of Arts","Customer Service","Experienced (Non-Managerial)"
5982,0,"Bachelor of Science","Sales","Entry Level"
5983,2001,"GED","Law Enforcement and Security","Manager"
5984,0,"Select One","Business","Entry Level"
5985,0,"0","0","Experienced (Non-Managerial)"
5986,2005,"Certificate","Nursing","Experienced (Non-Managerial)"
5987,0,"","Customer Service","Experienced (Non-Managerial)"
5988,2006,"High School Diploma","0","0"
5989,2013,"","Administrative Support","Entry Level"
5990,2008,"Diploma","Trades","Entry Level"
5991,2010,"","Sales","Student"
5992,0,"0","Food and Beverage","Manager"
5993,2013,"High School Diploma","0","Student"
5994,0,"0","Management","Manager"
5995,0,"","Administrative Support","0"
5996,2008,"B.TECH","Engineering","Experienced (Non-Managerial)"
5997,9,"Bachelor  of Arts","Military","Manager"
5998,0,"0","Customer Service","Experienced (Non-Managerial)"
5999,1992,"Bachelor of Science","Childcare","Manager"
6000,1996,"Bachelor of Science","Retail","Experienced (Non-Managerial)"
6001,2006,"","Military","Experienced (Non-Managerial)"
6002,2013,"High School Diploma","Nursing","Student"
6003,2014,"Associate of Business Management","0","Experienced (Non-Managerial)"
6004,2009,"Bachelor of Science","Administrative Support","Experienced (Non-Managerial)"
6005,0,"0","0","Experienced (Non-Managerial)"
6006,1985,"GED","Customer Service","Manager"
6007,0,"2 Semesters Completed","Customer Service","Experienced (Non-Managerial)"
6008,2002,"Bachelors of Science","0","0"
